class_code,class_name,is_scored,score_method,is_multi_scored,multi_score_method,is_team_class,team_classes
1,Beginner,FALSE,,FALSE,,FALSE,
3,Intermediate,FALSE,,FALSE,,FALSE,
7,Short Advanced,FALSE,,FALSE,,FALSE,
8M,Winter O Long Advanced Men,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
8F,Winter O Long Advanced Women,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
8G,Long Advanced Groups,FALSE,,FALSE,,FALSE,
W1M,WIOL Elementary School Boys,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W1F,WIOL Elementary School Girls,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W2M,WIOL Middle School Boys,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W2F,WIOL Middle School Girls,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W3F,WIOL Jr. Varsity Girls,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W4M,WIOL Jr. Varsity Boys North,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W5M,WIOL Jr. Varsity Boys South,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W6F,WIOL Varsity Girls,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
W6M,WIOL Varsity Boys,TRUE,WIOL-indv,TRUE,WIOL-season,FALSE,
WT2,WIOL Middle School Teams,TRUE,WIOL-team,TRUE,WIOL-season,TRUE,W2M-W2F
WT3F,WIOL JV Girls Teams,TRUE,WIOL-team,TRUE,WIOL-season,TRUE,W3F
WT4M,WIOL JV Boys North Teams,TRUE,WIOL-team,TRUE,WIOL-season,TRUE,W4M
WT5M,WIOL JV Boys South Teams,TRUE,WIOL-team,TRUE,WIOL-season,TRUE,W5M
WT6F,WIOL Varsity Girls Teams,TRUE,WIOL-team,TRUE,WIOL-season,TRUE,W6F
WT6M,WIOL Varsity Boys Teams,TRUE,WIOL-team,TRUE,WIOL-season,TRUE,W6M
4,Short Advanced,FALSE,,FALSE,,FALSE,
6G,Long Advanced Groups,FALSE,,FALSE,,FALSE,
UJF,Ultimate O Juniors Female,TRUE,ULT-indv,TRUE,ULT-season,FALSE,
UJM,Ultimate O Juniors Male,TRUE,ULT-indv,TRUE,ULT-season,FALSE,
UMF,Ultimate O Masters Female,TRUE,ULT-indv,TRUE,ULT-season,FALSE,
UMM,Ultimate O Masters Male,TRUE,ULT-indv,TRUE,ULT-season,FALSE,
UOF,Ultimate O Open Female,TRUE,ULT-indv,TRUE,ULT-season,FALSE,
UOM,Ultimate O Open Male,TRUE,ULT-indv,TRUE,ULT-season,FALSE,
N1F,NOCI Intermediate Girls,FALSE,NOCI-indv,TRUE,time-total,FALSE,
N1M,NOCI Intermediate Boys,FALSE,NOCI-indv,TRUE,time-total,FALSE,
N2M,NOCI Jr Varsity Boys,FALSE,NOCI-indv,TRUE,time-total,FALSE,
N3F,NOCI Jr Varsity Girls,FALSE,NOCI-indv,TRUE,time-total,FALSE,
N4F,NOCI Varsity Girls,FALSE,NOCI-indv,TRUE,time-total,FALSE,
N4I,Instructors (NOCI),FALSE,,FALSE,,FALSE,
N5M,NOCI Varsity Boys,FALSE,NOCI-indv,TRUE,time-total,FALSE,
NTJV,NOCI Jr Varsity Teams,TRUE,NOCI-team,TRUE,NOCI-multi,TRUE,N3F-N2M
NTV,NOCI Varsity Teams,TRUE,NOCI-team,TRUE,NOCI-multi,TRUE,N4F-N5M
NTU,NOCI Overall Teams,TRUE,NOCIuber,TRUE,NOCI-multi,TRUE,NTJV-NTV
