class_code,class_name,is_scored,score_method,is_multi_scored,multi_score_method,is_team_class,team_classes
F-10,Female 10 and Under,FALSE,,FALSE,,FALSE,
F-12,Female 12 and Under,FALSE,,FALSE,,FALSE,
F-14,Female 14 and Under,FALSE,,FALSE,,FALSE,
F-16,Female 16 and Under,FALSE,,FALSE,,FALSE,
F-18,Female 18 and Under,FALSE,,FALSE,,FALSE,
F-20,Female 20 and Under,FALSE,,FALSE,,FALSE,
F-21+,Female 21+,FALSE,,FALSE,,FALSE,
F35+,Female 35+,FALSE,,FALSE,,FALSE,
F40+,Female 40+,FALSE,,FALSE,,FALSE,
F45+,Female 45+,FALSE,,FALSE,,FALSE,
F50+,Female 50+,FALSE,,FALSE,,FALSE,
F55+,Female 55+,FALSE,,FALSE,,FALSE,
F60+,Female 60+,FALSE,,FALSE,,FALSE,
F65+,Female 65+,FALSE,,FALSE,,FALSE,
F70+,Female 70+,FALSE,,FALSE,,FALSE,
F75+,Female 75+,FALSE,,FALSE,,FALSE,
F80+,Female 80+,FALSE,,FALSE,,FALSE,
F85+,Female 85+,FALSE,,FALSE,,FALSE,
F90+,Female 90+,FALSE,,FALSE,,FALSE,
M-10,Male 10 and Under,FALSE,,FALSE,,FALSE,
M-12,Male 12 and Under,FALSE,,FALSE,,FALSE,
M-14,Male 14 and Under,FALSE,,FALSE,,FALSE,
M-16,Male 16 and Under,FALSE,,FALSE,,FALSE,
M-18,Male 18 and Under,FALSE,,FALSE,,FALSE,
M-20,Male 20 and Under,FALSE,,FALSE,,FALSE,
M-21+,Male 21+,FALSE,,FALSE,,FALSE,
M35+,Male 35+,FALSE,,FALSE,,FALSE,
M40+,Male 40+,FALSE,,FALSE,,FALSE,
M45+,Male 45+,FALSE,,FALSE,,FALSE,
M50+,Male 50+,FALSE,,FALSE,,FALSE,
M55+,Male 55+,FALSE,,FALSE,,FALSE,
M60+,Male 60+,FALSE,,FALSE,,FALSE,
M65+,Male 65+,FALSE,,FALSE,,FALSE,
M70+,Male 70+,FALSE,,FALSE,,FALSE,
M75+,Male 75+,FALSE,,FALSE,,FALSE,
M80+,Male 80+,FALSE,,FALSE,,FALSE,
M85+,Male 85+,FALSE,,FALSE,,FALSE,
M90+,Male 90+,FALSE,,FALSE,,FALSE,
M/F-White,M/F White,FALSE,,FALSE,,FALSE,
F-Yellow,Female Yellow,FALSE,,FALSE,,FALSE,
M-Yellow,Male Yellow,FALSE,,FALSE,,FALSE,
F-Orange,Female Orange,FALSE,,FALSE,,FALSE,
M-Orange,Male Orange,FALSE,,FALSE,,FALSE,
F-Brown,Female Brown,FALSE,,FALSE,,FALSE,
M-Brown,Male Brown,FALSE,,FALSE,,FALSE,
F-Green,Female Green,FALSE,,FALSE,,FALSE,
M-Green,Male Green,FALSE,,FALSE,,FALSE,
M-Red,Male Red,FALSE,,FALSE,,FALSE,
